,Store Name,State,City,Address,Estimated Population,Per Capita Income,Malls,buyers count,potential location,Norm_Potential,Norm_Stores,Priority Index
237,"ZUDIO - NHPC Metro Station, Faridabad",Haryana,Faridabad,"Pocket - B, Sectore - 27, Faridabad - 121003",1414050,355000,1,707025,30.2,0.303822938,0.251851852,0.051971086
238,"ZUDIO - Sant Surdas Metro Station, Faridabad",Haryana,Faridabad,"Sec-6 Sant Surdas Metro station, Faridabad - 121006",1414050,355000,1,707025,30.2,0.303822938,0.251851852,0.051971086
239,"Zudio - Entertainland Mall, Gurugram",Haryana,Gurugram,"Building No.: Entertainment land sector 83, Gurugram - 122004",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
240,"ZUDIO - AMB SELFIE STREET, GURUGRAM",Haryana,Gurugram,"Street 91 Road, Near Vishal Mega Mart, Sector 92, Gurugram - 122001",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
241,"ZUDIO - Sohna Road, Gurugram",Haryana,Gurugram,"JMD Suberio - Sohna Road Opp Reach Airia Mall, Gurugram - 122103",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
242,"ZUDIO - Elan Miracle, Gurugram",Haryana,Gurugram,"Dwarka Expy, Sector 84, Gurugram - 122004",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
243,"ZUDIO - Sector 70, Gurugram",Haryana,Gurugram,"Reach 3 road, Sector -70, Village Badsharpur, Gurugram - 122008",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
244,"ZUDIO - Mall 51, Gurugram",Haryana,Gurugram,"Shop No- 10-13, Plot No M-1,Bindapur,Sector 51, Gurugram - 122018",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
245,"Zudio - M2K Sector 51, Gurugram",Haryana,Gurugram,"N 17, Block N, Mayfield Garden, Sector 51, Gurugram - 122018",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
246,"Zudio - Tri Star, Sector 92, Gurugram",Haryana,Gurugram,"Pataudi Road, Near Spaze Tristar, Sector 92, Gurugram - 122001",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
247,"Zudio - Felix Plaza, Gurugram",Haryana,Gurugram,"1st Floor, Felix Plaza Mall, NH 48, Sector 82A, Gurugram - 122004",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
248,"Zudio - Vipul Business Park, Gurugram",Haryana,Gurugram,"Vipul Business Park, Vipul World, Central Park II Road, Sector 48, Gurugram - 122018",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
249,"ZUDIO - Satya The Hive, Gurugram",Haryana,Gurugram,"Satya The Hive, Dwarka Expy, Sector 102, Gurugram - 122505",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
250,"ZUDIO - Satya The Hive, Gurugram",Haryana,Gurugram,"Satya The Hive, Dwarka Expy, Sector 102 , Gurugram - 122505 , Haryana",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
251,"ZUDIO - Sohna Road, Gurugram",Haryana,Gurugram,"JMD Suberio - Sohna Road Opp Reach Airia Mall , Gurugram - 122103 , Haryana",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
252,"ZUDIO - Galaxy Road Sec-15, Gurugram",Haryana,Gurugram,"GF-1 & FF-1 Tower D, Signature Tower III, Sector- 15- II, Gurugram - 122001",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
253,"ZUDIO - Orris Market 89, Gurugram",Haryana,Gurugram,"Next to Vishal Mega Mart, Sector - 89, Gurugram - 122505",876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
254,"Zudio - New Ambala Road, Kaithal",Haryana,Kaithal,"Kaithal Ambala Road, Opposite Honda Agency, Model Town, Kaithal - 136027",144915,355000,1,72457.5,49.2,0.494969819,0.251851852,0.243117967
255,"Zudio - Model Town, Karnal",Haryana,Karnal,"720, Kunjpura Road, Opposite Dhingra Studio, Model Town , Karnal - 132001 , Haryana",144915,355000,1,72457.5,49.2,0.494969819,0.251851852,0.243117967
256,"Zudio - Thanesar, Kurukshetra",Haryana,Kurukshetra,"Plot No - Khewat No 1544, Near Tanishq, Red Road, Killa No - 2, Near Old Bus Stand, Thanesar, Kurukshetra - 136118",155152,355000,1,77576,91.4,0.919517103,0.251851852,0.667665251
257,"ZUDIO - PANCHKULA, HARYANA",Haryana,Panchkula,"SCO ÃÂ¢ÃÂÃÂ 35, Ground and First floor, Sector 11, Panchkula - 134109",211355,355000,1,105677.5,13.2,0.132796781,0.251851852,-0.119055071
258,"Zudio - Sector 5, Panchkula",Haryana,Panchkula,"Unit No 49 and 50, Near The Cove Hotel, SCO, Sector 5, Panchkula - 134108",211355,355000,1,105677.5,13.2,0.132796781,0.251851852,-0.119055071
259,"ZUDIO -G T Road, Panipat",Haryana,Panipat,"R K Tower, Adjoining State Bank of India, Panipat - 132102",442277,355000,1,221138.5,66.4,0.668008048,0.251851852,0.416156196
260,"Zudio - Dinco House, Rewari",Haryana,Rewari,"Opposite TVS Showroom, Circular Road, Near Dharuhera Chowk, Khasapura, Rewari - 123401",143021,355000,1,71510.5,12.8,0.128772636,0.251851852,-0.123079216
261,"ZUDIO - Delhi Road, Rohtak",Haryana,Rohtak,"Delhi Road, Jhang Colony, Mansrover Colony, Rohtak - 124001",417355,355000,1,208677.5,13.2,0.132796781,0.251851852,-0.119055071
262,"Zudio - Sterling City Mall, Sirsa",Haryana,Sirsa,"Sterling City Mall, Dabwali Road, Near Reliance Petrol Pump, Railway Colony, Sirsa - 125055",182534,355000,1,91267,20.6,0.207243461,0.251851852,-0.044608391
263,"ZUDIO - Sonipat, Haryana",Haryana,Sonipat,"H.No-9 Prem Nagar, Atlas Road, Sonipat Teachers Colony, Sonipat - 131001",289333,355000,1,144666.5,2.91E-11,0,0.251851852,-0.251851852
264,"ZUDIO - Yamuna Nagar, Haryana",Haryana,Yamuna Nagar,"Asheerwad Complex, 540 Model Town, Yamuna Nagar - 135001",383318,355000,1,191659,91,0.915492958,0.251851852,0.663641106
265,"Zudio - Maxon Tower, Palampur",Himachal Pradesh,Palampur,"By Pass Road, Dharamshala, Opposite Ola experience Centre, Berachah, Palampur - 176061",3543,215000,1,1771.5,26,0.261569416,0.014814815,0.246754602
266,"ZUDIO - G Square Mall, Solan",Himachal Pradesh,Solan,"G Square Mall, Ward Number 7, Solan - 173212",580320,215000,1,290160,92.2,0.927565392,0.014814815,0.912750578
267,"Zudio - City Center, Una",Himachal Pradesh,Una,"Near Indian Oil Petrol Pump, Dharamshala Road, Professor Colony, Una - 174303",521173,215000,1,260586.5,4,0.040241449,0.014814815,0.025426634
268,"Zudio - Guru Tegh Bahadur Nagar, Jammu",Jammu&Kashmir,Jammu,"Highland Automobiles, Opp Sunjwani Army Gate, Jammu - 180015",657314,132806,1,328657,88.6,0.891348089,0.007407407,0.883940681
269,"Zudio - Greater Kailash, Jammu",Jammu&Kashmir,Jammu,"Plot / Khasra No. 301, Next to Tata Motors, Jammu - 180010",657314,132806,1,328657,88.6,0.891348089,0.007407407,0.883940681
270,"Zudio - The Bokaro Mall, Jharkhand",Jharkhand,Bokaro,"Indira Gandhi Marg, Sector 3/C, Sector 3, Bokaro - 827013",564319,95000,1,282159.5,91.6,0.921529175,0.044444444,0.877084731
271,"ZUDIO - Prabhatam Grand Mall, Dhanbad",Jharkhand,Dhanbad,"Dhaiya-Barwaada Road, Chanchani Colony, Dhanbad - 826004",1162472,95000,1,581236,83.4,0.839034205,0.044444444,0.794589761
272,"ZUDIO - Bindal Mall, Jamshedpur",Jharkhand,Jamshedpur,"Marine Drive, Sonari, District- East Singhbhum, Jamshedpur - 831011",1337131,95000,1,668565.5,78.8,0.792756539,0.044444444,0.748312095
273,"Zudio - Adityapur, Jamshedpur",Jharkhand,Jamshedpur,"Identity, Adityapur Main Road, Industrial area, Near Auto Cluster, Jamshedpur - 832109",1337131,95000,1,668565.5,78.8,0.792756539,0.044444444,0.748312095
274,"Zudio - Senclave, Jamshedpur",Jharkhand,Jamshedpur,"Senclave, 1- B, Road No. 3, Contractors Area, Jamshedpur - 831001",1337131,95000,1,668565.5,78.8,0.792756539,0.044444444,0.748312095
275,"ZUDIO - The Ranchi Mall, Ranchi",Jharkhand,Ranchi,"The Ranchi Mall, Opposite Dr. KK Sinhas House, Bariatu, Ranchi - 834009",1126720,95000,1,563360,32.2,0.323943662,0.044444444,0.279499218
276,"Zudio - The Ikon, Ranchi",Jharkhand,Ranchi,"The Ikon, Plot No. 81 E Khata No 170 on Tagore Hill Road, Ranchi - 834008",1126720,95000,1,563360,32.2,0.323943662,0.044444444,0.279499218
277,"ZUDIO - Bagalkot, Vidyagiri",Karnataka,Bagalkot,"R.S.No 103 Plot No 57, Vijay Nagar, Vidayagiri, Bagalkot - 587102",111933,421858,1,55966.5,60,0.60362173,0.644444444,-0.040822714
278,"Zudio - Khanapur Road, Belgaum",Karnataka,Belgaum,"SBI Colony, Khanapur Road, Udyambag, Belgaum - 590008",488157,421858,1,244078.5,94.4,0.949698189,0.644444444,0.305253745
279,"Zudio - Kanaka Shree Plaza, Belagavi",Karnataka,Belgaum,"4833/26B, 38B, 39B, 41B, 45B, 46B & 47B, Dr. B R Ambedkar Road, Belgaum - 590010",488157,421858,1,244078.5,94.4,0.949698189,0.644444444,0.305253745
280,"ZUDIO ÃÂ¢ÃÂÃÂ KAKADES, BELLARY",Karnataka,Bellary,"Kakades, Plot no - 4, Siddhartha Nagar, Infantry Road, Cantonment, Bellary - 583104",410445,421858,1,205222.5,67.2,0.676056338,0.644444444,0.031611894
281,"ZUDIO - RAYASANDRA, BENGALURU",Karnataka,Bengaluru,"Site No 18, Katha No 18/18/18, Naganathapura Village, Begur Hobli, Ward No 191, Bengaluru - 560099",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
282,"Zudio - Jnana Ganga Nagar, Bengaluru",Karnataka,Bengaluru,"Near Saroja Memorial English School, No -14 &15, Mallathalli, Ullal Village Main Road, Bengaluru - 560056",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
283,"ZUDIO - Gopalan Signature Mall, Bengaluru",Karnataka,Bengaluru,"No.6, Old Madras Road, Nagavara Palya, C.V.Raman Nagar, Bengaluru - 560038",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
284,"ZUDIO - Akshaya Nagar, Bengaluru",Karnataka,Bengaluru,"Starbazar Akshay Nagar, Ground Floor, 5, 6 and 7, Yalenahalli, Akshaya Nagara, Bengaluru - 560068",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
285,"ZUDIO - Hennur Main Road, Bengaluru",Karnataka,Bengaluru,"No-4 /4/34/1, Near Amber Mega Store,Geddalahalli, Hennur Main Road, Kothanur, Bengaluru - 560077",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
286,"ZUDIO - Laggere, Bengaluru",Karnataka,Bengaluru,"NO-2b/8A.Katha no-384, Swathantrayodhara Nagar, Laggere, Bengaluru - 560058",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
287,"ZUDIO - KR PURAM, BENGALURU",Karnataka,Bengaluru,"Starbazar Monarch Aqua, No-15, NH-75, Venkateshwara Layout, Krishnarajapura, Bengaluru - 560036",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
288,"Zudio - Kapali Theater, Majestic, Bengaluru",Karnataka,Bengaluru,"Kapali Theatre Building, Garvebhavi Palya, Bandepalya, Gandhi Nagar, Bengaluru - 560009",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
289,"Zudio - HSR Layout, Bengaluru",Karnataka,Bengaluru,"Site No. 2332, Sector No. 2, HSR Layout, Bengaluru - 560102",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
290,"ZUDIO -JP NAGAR, BENGALURU",Karnataka,Bengaluru,"823M 24 Mani Road, J P Nagar 5th Phase, Bengaluru - 560068",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
291,"ZUDIO - Sarjapur, Bengaluru",Karnataka,Bengaluru,"Starbazar Saket Callipolis, S. No. 321 BBMP Property register B, Doddankanneli, Carmelaram Post, Sarjapur Main Road, Bengaluru - 560035",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
292,"ZUDIO - Vidyaranyapura, Bengaluru",Karnataka,Bengaluru,"Starbazar First Floor, 1554/57, Vidyarunpura Main Road, Opp Kethams Hospital, Near Nanjappa Circle, Bengaluru - 560097",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
293,"Zudio - Nexus Shantiniketan Mall, Bengaluru",Karnataka,Bengaluru,"Nexus Shantiniketan Mall, Thigalarapalya, Krishnarajapura Hoodi, Bengaluru - 560048",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
294,Zudio - Kalyan Nagar Bengaluru,Karnataka,Bengaluru,"No.7 M-322, 1st Block, 80 Ft Road, HRBR Layout, Landmark- Diagonally Opposite to Starbucks, Bengaluru - 560043",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
295,"ZUDIO - Jayanagar, Bengaluru",Karnataka,Bengaluru,"#230 (Old No 17) 9th Main, Jayanagar 3rd Block, Bengaluru - 560011",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
296,"Zudio - Commercial Street II, Bengaluru",Karnataka,Bengaluru,"177, Commercial Street, Bengaluru - 560001",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
297,"Zudio - Magadi Main Road, Bengaluru",Karnataka,Bengaluru,"Unit No 201, Muthuraya Swamy Extension, Magadi Main Road, Opposite M/S Universal Packaging, Sunkadakatte , Bengaluru - 560091 , Karnataka",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
298,"ZUDIO - ANJANAPURA 80 FEET ROAD, BANGALORE",Karnataka,Bengaluru,"Survey No 5/11, 80 Feet Road, Anjanapura, Near Key Motors Tata Car Service Centre, Gottigere , Bengaluru - 560083 , Karnataka",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
299,"ZUDIO - Vignan Nagar, Bengaluru",Karnataka,Bengaluru,"Starbazar Site No. 3 & 4, BE, Katta No. 301/143/3/A, Vibhutipura Village, Vignan Nagar, K. R. Puram, Hobli, Bengaluru - 560043",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
300,"Zudio - Ascendas Park Square Mall, Bengaluru",Karnataka,Bengaluru,"Ascendas Park Square Mall, ITPL, Reg. Off. 3rd Floor, Discoverer Building, International Tech Park, Whitefield Road, Bengaluru - 560066",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
301,"Zudio - Rajarajeshwari Nagar, Bengaluru",Karnataka,Bengaluru,"Site 51, Ward 160, BEML 5th Stage, Channasandra Main Road, Rajarajeshwari Nagar, Bengaluru - 560098",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
302,"ZUDIO - SARJAPUR ROAD, BENGALURU",Karnataka,Bengaluru,"Aura Realty,SY No. 92, Chambenahalli, Sarjapur Road, Dommasandra, Bengaluru - 562125",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
303,Zudio - Saibya Square,Karnataka,Bengaluru,"Saibya Square, Sy. No. 299, 4B , Begur Road, Near Sub Registrar Office, Bengaluru - 560068",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
304,"Zudio - Bhimaneni Towers, Bengaluru",Karnataka,Bengaluru,"Bhemaneni Towers, 78/1, 14th cross Rd, Chanakya layout, Manyata Tech Park, Beside IBIS, Nagavara, Bengaluru - 560045",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
305,"Zudio - TNT Cresent, Bengaluru",Karnataka,Bengaluru,"PID No. 824/ 64/7, Thanisandra Main Road, Bharath Nagar, Manayata Tech Park, Bengaluru - 560045",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
306,"ZUDIO - Balagere Road, Bengaluru",Karnataka,Bengaluru,"493, Balagere Rd, Devasthanagalu, Varthur, Bengaluru - 560087",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
307,"Zudio - Star Elite, Bengaluru",Karnataka,Bengaluru,"Star Elite, No.-1234, Major Sandeep Unnikrishnan Rd, New Town Main Rd, Yelahanka, Bengaluru - 560064",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
308,"ZUDIO - Kengeri, Bengaluru",Karnataka,Bengaluru,"BBMP Khata No 2159/58/128/2145, Old KHB No 128-MIG, BBMP Khata No 2160/59/129/2146, Old KHB No 129-MIG, Situated at Kengeri Satellite Town, Kengeri, Upanagara, Bengaluru - 560060",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
309,"Zudio - NS Towers, Bengaluru",Karnataka,Bengaluru,"NS Towers, Site No. 18, Jayachamarajendra industrial Layout, BBMP Ward No. 185, Yelanchenahalli, Kanakapura Road, Bengaluru - 560078",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
310,"Zudio - The Hub SNN Raj Serenity, Bengaluru",Karnataka,Bengaluru,"Khata No-10, Begur-Koppa Road, Yelenahalli, Akshayanagar, Bengaluru - 560068",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
311,"Zudio - SBR Tejas, Bengaluru",Karnataka,Bengaluru,"SBR Tejas, Sy Nos. 1 & 2, NH75, beside Toyota showroom, Aavalahalli Village, Bengaluru - 560049",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
312,"ZUDIO - COMMERCIAL STREET, BENGALURU",Karnataka,Bengaluru,"77,Near Commercial Street Police Station, Bengaluru - 560001",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
313,"Zudio - The Pavilion, Bengaluru",Karnataka,Bengaluru,"GF -175 & 176, The Pavilion, Banerghatta Main road, Bengaluru - 560076",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
314,"Zudio - GT World Mall, Bengaluru",Karnataka,Bengaluru,"Unit No.UG 04,Upper Ground Floor,#92,Magadi Road,Next to Prasanna Theatre, Bengaluru - 560023",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
315,"ZUDIO - Jupiter Mantri Mall, Bengaluru",Karnataka,Bengaluru,"KHB Games Village, Koramangala, Bengaluru - 560047",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
316,"ZUDIO -MANTRI SQUARE, BENGALURU",Karnataka,Bengaluru,"Sampige Rd, Malleshwaram, Bengaluru - 560003",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
317,"Zudio - HM Vibha Towers, Bengaluru",Karnataka,Bengaluru,"HM Vibha Towers, Muncipal No 66/5-25, Luskar Hosur Road, Ward No 63, Koramangala, Bengaluru - 560001",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
318,"Zudio - Varthur Road, Bengaluru",Karnataka,Bengaluru,"Starbazar SJR - Zion, S. No. 42/5, Opposite Shankar Eye Hospital, Near Kundalahalli Gate Signal, Next to Golkanda Chimney Restaurant, Munnekolau Village, Varthur, Bengaluru - 560037",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
319,"Zudio - Nandi Complex, Bengaluru",Karnataka,Bengaluru,"Starbazar Ground Floor, Nandi Complex, Site No. 619 & 620, 80 Feet Main Road, Vinayaka, Layout, 2nd Stage, Annapoorneshwari Nagar, Bengaluru - 560072",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
320,"Zudio - VR Bengaluru, Bengaluru",Karnataka,Bengaluru,"Whitefield Main road, Devasandra Industrial Estate, Mahadevapura, Bengaluru - 560048",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
321,"Zudio - Doddathoguru, Bengaluru",Karnataka,Bengaluru,"SY NO. 106/1, Electronics City Phase 1, Doddathoguru cross, Bengaluru - 560100",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
322,"Zudio - Indraprastha, Bengaluru",Karnataka,Bengaluru,"Indraprastha No 82 /11, Byrthi Village, Kothanur, Hobli, Hennur Road, Bengaluru - 560077",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
323,"ZUDIO - Ramamurthy Nagar, Bengaluru",Karnataka,Bengaluru,"Starbazar Survey No. 93, Yerranapalya, Kowdenhalli, Bengaluru - 560016",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
324,"ZUDIO - LULU GLOBAL MALL, BENGALURU",Karnataka,Bengaluru,"Gopalapura, Binnipete, Bengaluru - 560023",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
325,"Zudio - Aashvi, Bengaluru",Karnataka,Bengaluru,"Starbazar Aashvi, No. 7 & 8, Spring Valley, Chanasandra Road, Hopefarm Junction, Whitefield, Bengaluru - 560066",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
326,"ZUDIO - Uttarahalli, Bengaluru",Karnataka,Bengaluru,"Starbazar Vishnu Vardhan Road, Opposite to Reliance Fresh, Uttarahalli, Bengaluru - 560066",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
327,"Zudio - Garuda Mall, Yelahanka",Karnataka,Bengaluru,"1st A Main Road, Sector B, Yelahanka New Town, Bengaluru - 560064",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
328,"Zudio - Sampigehalli, Bengaluru",Karnataka,Bengaluru,"SY No 61/63, Near Sofia College of Nursing, Thanisandra Main Road, Devin Paradise Enclave, Kothanur, Bengaluru - 560064",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
329,"Zudio - Gopalan Arcade Mall, Bengaluru",Karnataka,Bengaluru,"First Floor, Gopalan Arcade Mall, Mysore Road, Kenchenhalli, Rajarajeshwari Nagar, Bengaluru - 560026",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
330,"Zudio - Kumbalgod, Bengaluru",Karnataka,Bengaluru,"Plot No 17/3, 17/4 & 17/5, Bengaluru-Mysore Expressway, Near Don Bosco Institute Of Technology, Kumbalgodu, Bengaluru - 560074",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
331,Zudio ÃÂ¢ÃÂÃÂ Bhartiya Mall,Karnataka,Bengaluru,"Upper Ground Floor, Bhartiya Mall, Thanisandra Main Road, Kannuru, Bengaluru - 560064",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
332,"Zudio - Old Guddadahalli, Bengaluru",Karnataka,Bengaluru,"1-4, 7th Cross 1, Mysore Rd, opp. Bsnl, New Guddadahalli, Bengaluru - 560026",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
333,"ZUDIO - Orion Avenue, Bengaluru",Karnataka,Bengaluru,"Banaswadi, 10/34, Dodda Banaswadi Main Rd, Jaibharath Nagar, Sathya Nagar, Maruthi Sevanagar, Bengaluru - 560033",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
334,"ZUDIO -YGR SIGNATURE MALL, BENGALURU",Karnataka,Bengaluru,"Starbazar 244/1, Kenchena Halli Rd, Rajarajeshwari Nagar, Bengaluru - 560098",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
335,"Zudio - KSST Road, Bengaluru",Karnataka,Bengaluru,"Starbazar KSST Rd, Thigalarapalya, ITPL Main Road, Krishnarajapura, Bengaluru - 560067",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
336,"Zudio - Yelachenahalli Metro Station, Bengaluru",Karnataka,Bengaluru,"Starbazar bbmp khata no 37/35/34/31/1c, yelachenahalli, near metro station, kanakapura main road, Bengaluru - 560078",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
337,"ZUDIO ÃÂ¢ÃÂÃÂ VICTORIA EMBASSY, BENGALURU",Karnataka,Bengaluru,"Starbazar 47, 48, Opposite Mayo Hall, Residency Road, Ashok Nagar, Bengaluru - 560025",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
338,"Zudio - Sai Sarana Layout, Bengaluru",Karnataka,Bengaluru,"Sai Sarana Layout, Phase 1, Kammasandra, Electronic City, Bengaluru - 560100",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
339,"ZUDIO ÃÂ¢ÃÂÃÂ GLOBAL MALL, BENGALURU",Karnataka,Bengaluru,"Divinity Sy No. 126, Pantharpalya, Mysore Road, Nayandan Halli, Bengaluru - 560039",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
340,"ZUDIO ÃÂ¢ÃÂÃÂ KADUBEESANAHALLI, BENGALURU",Karnataka,Bengaluru,"#30 Panathur Main Road, Kadubeesanahalli, Near Desk of Brews, Bengaluru - 560103",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
341,"ZUDIO ÃÂ¢ÃÂÃÂ SKS-7, BENGALURU",Karnataka,Bengaluru,"Hal II Stage Extension, Near The Souled Store - Indiranagar, BBMP PID No. 74-1-2006, New Ward No. 88, Jeevan Bheema Nagar, Bengaluru - 560008",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
342,"ZUDIO - Jayanagar 7th block, Bengaluru",Karnataka,Bengaluru,"No-257/13, S Kariyappa Road, Bengaluru - 560082",8443675,421858,1,4221837.5,5.2,0.052313883,0.644444444,-0.592130561
343,"ZUDIO - JM Arcade, Chitradurga",Karnataka,Chitradurga,"Jagalur Mahalingappa Arcade & Jagalpur Mahalinga Residency, E Khata Property No - 18-2-512-12B, Khata No. 5054/2993/7740/27, Beside Azad Flour Mill, BD Road, Chitradurga - 577501",145853,421858,1,72926.5,12,0.120724346,0.644444444,-0.523720098
344,"ZUDIO - SS Gardenia Mall, Davanagere",Karnataka,Davanagere,"Door No. 3993/23, S. S. Layout, Shamanur Road, Davanagere - 577004",434971,421858,1,217485.5,82.8,0.832997988,0.644444444,0.188553543
345,"ZUDIO - Toshani Emporia Avenue, Davanagere",Karnataka,Davanagere,"Kamalamma Road, Prince Jayachamaraja Wodeyar, AVK Road, PJ Extension, Davanagere - 577002",434971,421858,1,217485.5,82.8,0.832997988,0.644444444,0.188553543
346,"Zudio - U Mall, Gadaga, Betagiri",Karnataka,Gadag,"U Central, RS. No. 317, B, Plot Nos. 34 to 54, Situated at Gadag - Hubli Road, Gadag - 582101",172612,421858,1,86306,67.4,0.67806841,0.644444444,0.033623966
347,"ZUDIO -AB MALL, HOSAPETE",Karnataka,Hosapete,"234G & 234A Part, No. A4 & D, Door No. 17464 & 17467, Opp. To APMC, Hosapete - 583203",206167,421858,1,103083.5,0.4,0.004024145,0.644444444,-0.6404203
348,"Zudio - Shirur Park, Hubballi",Karnataka,Hubballi,"opposite Sangeeta mobiles, beside Lenskart, 1st gate Shirur park, Vidya Nagar, Hubballi - 580023",943788,421858,1,471894,73,0.734406439,0.644444444,0.089961994
349,"Zudio - Centrum Mall, Hubballi",Karnataka,Hubballi,"Next to V2 Retail, Near Big Bazaar, Hubballi - 580030",943788,421858,1,471894,73,0.734406439,0.644444444,0.089961994
350,"ZUDIO - U Mall, Hubli",Karnataka,Hubballi,"Shree Shakti road, near Apsara theatre, J C Nagar, New Hubli, Hubballi - 580020",943788,421858,1,471894,73,0.734406439,0.644444444,0.089961994
